"Country Name","Country Code","Region","IncomeGroup","SpecialNotes",
"Estonia","EST","Europe & Central Asia","High income: OECD","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2011: 1 euro = 15.6466 Estonian kroon. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.",
"Ethiopia","ETH","Sub-Saharan Africa","Low income","Fiscal year end: July 7; reporting period for national accounts data: FY. Based on IMF data, national accounts data have been revised for 2000 onward; the new base year is 2011.",
"European Union","EUU","","","European Union aggregate.",
"Finland","FIN","Europe & Central Asia","High income: OECD","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 5.94573 Finnish markka. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",
"Fiji","FJI","East Asia & Pacific","Upper middle income","Based on data from the Bureau of Statistics, national accounts data on the expenditure side have been revised from 2005 onward; the new base year is 2005.",
"France","FRA","Europe & Central Asia","High income: OECD","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 6.55957 French franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",
"Faeroe Islands","FRO","Europe & Central Asia","High income: nonOECD","",
"Micronesia, Fed. Sts.","FSM","East Asia & Pacific","Lower middle income","Fiscal year ends on September 30; reporting period for national accounts data: FY. Based on the Pacific and Virgin Islands Training Initiative, national accounts data have been revised from 2009 onward. In 2010, the government statistical office revised national accounts data for 1995-2008.",
"Gabon","GAB","Sub-Saharan Africa","Upper middle income","",
"United Kingdom","GBR","Europe & Central Asia","High income: OECD","",
"Georgia","GEO","Europe & Central Asia","Lower middle income","",
"Ghana","GHA","Sub-Saharan Africa","Lower middle income","In 2010, the Ghana Statistical Service revised the base year for Ghana's national accounts series from 1993 to 2006. The new GDP data were about 60 percent higher than previously reported and incorporated improved data sources and methodology.",
"Guinea","GIN","Sub-Saharan Africa","Low income","",
"Gambia, The","GMB","Sub-Saharan Africa","Low income","Fiscal year end: June 30; reporting period for national accounts data: CY. April 2013 database update: Based on official government statistics, national accounts data were revised for 2004 onward; the base year changed to 2004.",
"Guinea-Bissau","GNB","Sub-Saharan Africa","Low income","In 2010, national accounts data for 2003-09 were revised. The new data had broader coverage of all sectors of the economy, and GDP in current prices averaged 89 percent higher than previous estimates.",
"Equatorial Guinea","GNQ","Sub-Saharan Africa","High income: nonOECD","",
"Greece","GRC","Europe & Central Asia","High income: OECD","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 340.75 Greek drachma. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",
"Grenada","GRD","Latin America & Caribbean","Upper middle income","April 2012 database update: Based on official government statistics, national accounts data were revised for 2000 onward; the base year changed to 2006.",
"Greenland","GRL","Europe & Central Asia","High income: nonOECD","",
"Guatemala","GTM","Latin America & Caribbean","Lower middle income","",
"Guam","GUM","East Asia & Pacific","High income: nonOECD","",
"Guyana","GUY","Latin America & Caribbean","Lower middle income","In 2010, the Bureau of Statistics introduced a new series of GDP rebased to year 2006. Current price GDP averaged 63 percent higher than previous estimates.",
"High income","HIC","","","High income group aggregate. High-income economies are those in which 2012 GNI per capita was $12,616 or more.",
"Hong Kong SAR, China","HKG","East Asia & Pacific","High income: nonOECD","On 1 July 1997 China resumed its exercise of sovereignty over Hong Kong. Unless otherwise noted, data for China do not include data for Hong Kong SAR, China; Macao SAR, China; or Taiwan, China. Agriculture value added includes mining and quarrying.",
"Honduras","HND","Latin America & Caribbean","Lower middle income","",
"Heavily indebted poor countries (HIPC)","HPC","","","Heavily indebted poor countries aggregate.",
"Croatia","HRV","Europe & Central Asia","High income: nonOECD","April 2013 database update: Based on official government statistics, the base year for constant price series changed to 2005.",
"Haiti","HTI","Latin America & Caribbean","Low income","Fiscal year end: September 30; reporting period for national accounts data: FY. In 2010, the government revised national accounts data following changes in the methodology. Current price series since 1991 and constant price series since 1996 were revised.",
"Hungary","HUN","Europe & Central Asia","Upper middle income","April 2012 database update: Based on data from the Organisation for Economic Co-operation and Development, national accounts data were revised for 1991 onward.",
"Indonesia","IDN","East Asia & Pacific","Lower middle income","Fiscal year end: March 31; reporting period for national accounts data: CY. Data for Indonesia include Timor-Leste through 1999 unless otherwise noted.",
"Isle of Man","IMN","Europe & Central Asia","High income: nonOECD","",
"India","IND","South Asia","Lower middle income","Fiscal year end: March 31; reporting period for national accounts data: FY. April 2013 database update: The India Central Statistical Office revised historical data series both current and constant going back to 1960 with 2004–05 as the base.",
"Ireland","IRL","Europe & Central Asia","High income: OECD","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 0.787564 Irish pound. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",
"Iran, Islamic Rep.","IRN","Middle East & North Africa","Upper middle income","Fiscal year end: March 20; reporting period for national accounts data: FY.",
"Iraq","IRQ","Middle East & North Africa","Upper middle income","National accounts have been revised from 2000 onward based on official government data; the new base year is 1988. The new series raises GDP significantly from previous estimates.",
"Iceland","ISL","Europe & Central Asia","High income: OECD","",
"Israel","ISR","Middle East & North Africa","High income: OECD","",
"Italy","ITA","Europe & Central Asia","High income: OECD","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 1936.27 Italian lira. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",
"Jamaica","JAM","Latin America & Caribbean","Upper middle income","April 2013 database update: Based on official government statistics, national accounts data were revised for 2002 onward; the base year changed to 2007.",
"Jordan","JOR","Middle East & North Africa","Upper middle income","",
"Japan","JPN","East Asia & Pacific","High income: OECD","Fiscal year end: March 31; reporting period for national accounts data: CY.",
"Kazakhstan","KAZ","Europe & Central Asia","Upper middle income","",
"Kenya","KEN","Sub-Saharan Africa","Low income","Fiscal year end: June 30; reporting period for national accounts data: CY.",
"Kyrgyz Republic","KGZ","Europe & Central Asia","Low income","",
"Cambodia","KHM","East Asia & Pacific","Low income","",
"Kiribati","KIR","East Asia & Pacific","Lower middle income","Based on IMF and World Bank data, GDP in current and constant prices have been revised from 2000 onward. Value added components are calculated using shares from the Asian Development Bank.",
"St. Kitts and Nevis","KNA","Latin America & Caribbean","High income: nonOECD","April 2012 database update: Based on official government statistics, national accounts data were revised for 2000 onward; the base year changed to 2006.",
"Korea, Rep.","KOR","East Asia & Pacific","High income: OECD","",
"Kosovo","KSV","Europe & Central Asia","Lower middle income","Kosovo became a World Bank member on June 29, 2009. Since 1999, Kosovo has been a territory under international administration pursuant to UN Security Council Resolution 1244 (1999).",
"Kuwait","KWT","Middle East & North Africa","High income: nonOECD","Fiscal year end: June 30; reporting period for national accounts data: CY.",
"Latin America & Caribbean","LAC","","","Latin America and Caribbean regional aggregate (does not include high-income economies).",
"Lao PDR","LAO","East Asia & Pacific","Lower middle income","",
"Lebanon","LBN","Middle East & North Africa","Upper middle income","",
"Liberia","LBR","Sub-Saharan Africa","Low income","April 2013 database update: Based on IMF data, national accounts data were revised for 2000 onward; the base year changed to 2000.",
"Libya","LBY","Middle East & North Africa","Upper middle income","",
"St. Lucia","LCA","Latin America & Caribbean","Upper middle income","April 2012 database update: Based on official government statistics, national accounts data were revised for 2000 onward; the base year changed to 2006.",
"Latin America & Caribbean (all income levels)","LCN","","","Latin America and Caribbean regional aggregate (including high-income economies).",
"Least developed countries: UN classification","LDC","","","Least developed countries (UN classification) aggregate.",
"Low income","LIC","","","Low income group aggregate. Low-income economies are those in which 2012 GNI per capita was $1,035 or less.",
"Liechtenstein","LIE","Europe & Central Asia","High income: nonOECD","",
"Sri Lanka","LKA","South Asia","Lower middle income","",
"Lower middle income","LMC","","","Lower middle income group aggregate. Lower-middle-income economies are those in which 2012 GNI per capita was between $1,036 and $4,085.",
"Low & middle income","LMY","","","Low and middle income group aggregate (all developing economies). Low- and middle-income economies are those in which 2012 GNI per capita was $12,615 or less.",
"Lesotho","LSO","Sub-Saharan Africa","Lower middle income","Fiscal year end: March 31; reporting period for national accounts data: CY.",
"Lithuania","LTU","Europe & Central Asia","High income: nonOECD","",
"Luxembourg","LUX","Europe & Central Asia","High income: OECD","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 40.3399 Luxembourg franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",
"Latvia","LVA","Europe & Central Asia","High income: nonOECD","Country joined euro area on 1 January 2014; data in the WDI database are reported in lats.",
"Macao SAR, China","MAC","East Asia & Pacific","High income: nonOECD","On 20 December 1999 China resumed its exercise of sovereignty over Macao. Unless otherwise noted, data for China do not include data for Hong Kong SAR, China; Macao SAR, China; or Taiwan, China.",
"St. Martin (French part)","MAF","Latin America & Caribbean","High income: nonOECD","",
"Morocco","MAR","Middle East & North Africa","Lower middle income","",
"Monaco","MCO","Europe & Central Asia","High income: nonOECD","",
"Moldova","MDA","Europe & Central Asia","Lower middle income","",
"Madagascar","MDG","Sub-Saharan Africa","Low income","",
"Maldives","MDV","South Asia","Upper middle income","April 2012 database update: The Department of National Planning revised national accounts data for 2000 onward; the base year changed to 2003.",
"Middle East & North Africa (all income levels)","MEA","","","Middle East and North Africa regional aggregate (including high-income economies).",
"Mexico","MEX","Latin America & Caribbean","Upper middle income","The new base year is 2008.",
"Marshall Islands","MHL","East Asia & Pacific","Upper middle income","Fiscal year ends on September 30; reporting period for national accounts data: FY.",
"Middle income","MIC","","","Middle income group aggregate. Middle-income economies are those in which 2012 GNI per capita was between $1,036 and $12,615.",
"Macedonia, FYR","MKD","Europe & Central Asia","Upper middle income","April 2012 database update: Based on official statistics, national accounts data were revised for 2003 onward.",
"Mali","MLI","Sub-Saharan Africa","Low income","",
"Malta","MLT","Middle East & North Africa","High income: nonOECD","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2008: 1 euro = 0.4293 Maltese lira. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.",
"Myanmar","MMR","East Asia & Pacific","Low income","Fiscal year end: March 31; reporting period for national accounts data: FY.",
"Middle East & North Africa","MNA","","","Middle East and North Africa regional aggregate (does not include high-income economies).",
"Montenegro","MNE","Europe & Central Asia","Upper middle income","Montenegro declared independence from Serbia and Montenegro on June 3, 2006. Where available, data for each country are shown separately. However, for Serbia, some indicators continue to include data for Montenegro through 2005.",
"Mongolia","MNG","East Asia & Pacific","Lower middle income","",
"Northern Mariana Islands","MNP","East Asia & Pacific","High income: nonOECD","",
"Mozambique","MOZ","Sub-Saharan Africa","Low income","",
"Mauritania","MRT","Sub-Saharan Africa","Lower middle income","April 2012 database update: Based on official government statistics, data were revised for 1991 onward; the base year for constant price series changed to 2004.",
"Mauritius","MUS","Sub-Saharan Africa","Upper middle income","",
"Malawi","MWI","Sub-Saharan Africa","Low income","Fiscal year end: March 31; reporting period for national accounts data: CY. Based on IMF data, national accounts data have been revised for 2000 onward; the new base year is 2009.",
"Malaysia","MYS","East Asia & Pacific","Upper middle income","Based on official government statistics, value added in services in constant and current prices have been revised from 1990 onward. National accounts data in constant prices have been linked back to 1960; the new base year is 2005.",
"North America","NAC","","","North America regional aggregate. There are no economies in North America classified as low or middle income.",
"Namibia","NAM","Sub-Saharan Africa","Upper middle income","Fiscal year end: March 31; reporting period for national accounts data: CY. In 2010, the Central Bureau of Statistics revised national accounts data for 2000-07. An expanded data survey resulted in a substantial upward adjustment to estimates of output, particularly in mining, services, and manufacturing. The constant price series were rebased from 1995 to 2004 prices. GDP in current prices averaged 14 percent higher than previous estimates.",
"New Caledonia","NCL","East Asia & Pacific","High income: nonOECD","",
"Niger","NER","Sub-Saharan Africa","Low income","Based on official government statistics, national accounts data have been revised from 2006 onward; the new base year is 2006.",
"Nigeria","NGA","Sub-Saharan Africa","Lower middle income","Based on official government statistics as of 1 February 2014, national accounts data have been revised from 1981 onward while preserving historical growth rates for constant GDP at market prices through 2006. New estimates of nominal and constant GDP released by the Nigeria Bureau of Statistics on 6 April 2014 will be included in future editions of the WDI database.",
"Nicaragua","NIC","Latin America & Caribbean","Lower middle income","April 2013 database update: Based on official government statistics, national accounts data were revised for 1994 onward; the base year changed to 2006.",
"Netherlands","NLD","Europe & Central Asia","High income: OECD","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 2.20371 Netherlands guilder. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",
"High income: nonOECD","NOC","","","High income nonOECD aggregate. High-income economies are those in which 2012 GNI per capita was $12,616 or more.",
"Norway","NOR","Europe & Central Asia","High income: OECD","",
"Nepal","NPL","South Asia","Low income","Fiscal year end: July 14; reporting period for national accounts data: FY.",
"New Zealand","NZL","East Asia & Pacific","High income: OECD","Fiscal year end: March 31; reporting period for national accounts data: FY.",
"High income: OECD","OEC","","","High income OECD members aggregate. High-income economies are those in which 2012 GNI per capita was $12,616 or more.",
"OECD members","OED","","","OECD members aggregate (all, including developing countries).",
"Oman","OMN","Middle East & North Africa","High income: nonOECD","",
"Other small states","OSS","","","Other small states aggregate. Includes Bhutan, Botswana, Cabo Verde, Comoros, Djibouti, Equatorial Guinea, Gabon, The Gambia, Guinea-Bissau, Lesotho, Maldives, Mauritius, Montenegro, Namibia, Sao Tome and Principe, Seychelles, Swaziland, and Timor-Leste.",
"Pakistan","PAK","South Asia","Lower middle income","Fiscal year end: June 30; reporting period for national accounts data: FY. The new base year is 2005/06.",
"Panama","PAN","Latin America & Caribbean","Upper middle income","",
"Peru","PER","Latin America & Caribbean","Upper middle income","",
"Philippines","PHL","East Asia & Pacific","Lower middle income","April 2012 database update: National accounts data were revised for 1998 onward. Because intellectual property products are now reported as a part of gross fixed capital formation, gross domestic product (GDP) in current prices averaged 4 percent higher than previous estimates.",
"Palau","PLW","East Asia & Pacific","Upper middle income","Fiscal year ends on September 30; reporting period for national accounts data: FY. Base year has changed to 2005. Source: Pacific and Virgin Islands Training Initiative at www.econmap.org.",
"Papua New Guinea","PNG","East Asia & Pacific","Lower middle income","",
"Poland","POL","Europe & Central Asia","High income: OECD","",
"Puerto Rico","PRI","Latin America & Caribbean","High income: nonOECD","Fiscal year end: June 30; reporting period for national accounts data: FY. April 2012 database update: Based on data from the Instituto de Estadísticas de Puerto Rico, national accounts data were revised for 2001 onward.",
"Korea, Dem. Rep.","PRK","East Asia & Pacific","Low income","",
"Portugal","PRT","Europe & Central Asia","High income: OECD","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 200.482 Portuguese escudo. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",
"Paraguay","PRY","Latin America & Caribbean","Lower middle income","National accounts data have been revised from 1960 onward. The methodology and base year have not changed but the output of two hydroelectric plants (shared with neighboring countries) has been added raising GDP from previous estimates. On the supply side, it was added in ""gas, electricity and water."" On the demand side changes were mainly to exports, but also for imports, investment and consumption. National accounts price valuations for 1991 to 2012 have also been corrected and changed from VAP to VAB.",
"West Bank and Gaza","PSE","Middle East & North Africa","Lower middle income","",
"Pacific island small states","PSS","","","Pacific island small states aggregate. Includes Fiji, Kiribati, Marshall Islands, Federated States of Micronesia, Palau, Samoa, Solomon Islands, Tonga, Tuvalu, and Vanuatu.",
"French Polynesia","PYF","East Asia & Pacific","High income: nonOECD","",
"Qatar","QAT","Middle East & North Africa","High income: nonOECD","",
"Romania","ROU","Europe & Central Asia","Upper middle income","National accounts have been revised based on data from the National Statistical Institute; the new base year is 2000.",
"Russian Federation","RUS","Europe & Central Asia","High income: nonOECD","",
"Rwanda","RWA","Sub-Saharan Africa","Low income","April 2013 database update: Based on official government statistics, national accounts data were revised for 1999 onward; the base year changed to 2006.",
"South Asia","SAS","","","South Asia regional aggregate. There are no economies in South Asia classified as high income.",
"Saudi Arabia","SAU","Middle East & North Africa","High income: nonOECD","",
"Sudan","SDN","Sub-Saharan Africa","Lower middle income","Total population data are reported separately for Sudan and South Sudan; see specific notes for other demographic-related series. National accounts data exclude South Sudan after July 9, 2011. Other data reported for Sudan include South Sudan unless otherwise noted.",
"Senegal","SEN","Sub-Saharan Africa","Lower middle income","",
"Singapore","SGP","East Asia & Pacific","High income: nonOECD","Fiscal year end: March 31; reporting period for national accounts data: CY. Country reports using a blend of SNA 1993 and SNA 2008. April 2012 database update: National accounts time series were replaced with official government statistics.",
"Solomon Islands","SLB","East Asia & Pacific","Lower middle income","",
"Sierra Leone","SLE","Sub-Saharan Africa","Low income","Fiscal year end: June 30; reporting period for national accounts data: CY. April 2013 database update: Based on official government statistics, national accounts data were revised for 1990 onward; the base year changed to 2006.",
"El Salvador","SLV","Latin America & Caribbean","Lower middle income","",
"San Marino","SMR","Europe & Central Asia","High income: nonOECD","",
"Somalia","SOM","Sub-Saharan Africa","Low income","",
"Serbia","SRB","Europe & Central Asia","Upper middle income","Montenegro declared independence from Serbia and Montenegro on June 3, 2006. Where available, data for each country are shown separately. However, for Serbia, some indicators, such as those series for which data appear only for Serbia and not Montenegro--e.g., aid, environment, external debt, balance of payments, various social indicators excluding population--continue to include data for Montenegro through 2005. Moreover, data from 1999 onward for Serbia for most indicators exclude data for Kosovo, 1999 being the year when Kosovo became a territory under international administration pursuant to UN Security Council Resolution 1244 (1999); any exceptions are noted. Kosovo became a World Bank member on June 29, 2009; available data are shown separately for Kosovo. In 2011, the Statistical Office of Serbia improved the methodology of national accounts data for 2003 onward. Specifically, the classification of sectors was revised, and GDP is now calculated using chain linked volumes in 2005 prices.",
"Sub-Saharan Africa","SSA","","","Sub-Saharan Africa regional aggregate (does not include high-income economies).",
"South Sudan","SSD","Sub-Saharan Africa","Low income","South Sudan declared its independence on July 9, 2011. Data are shown separately for South Sudan where available. However, data reported for Sudan include South Sudan unless otherwise noted. Though limited data are available in the WDI database for South Sudan, additional data are available from South Sudan's National Bureau of Statistics (http://ssnbs.org/).",
"Sub-Saharan Africa (all income levels)","SSF","","","Sub-Saharan Africa regional aggregate (including high-income economies).",
"Small states","SST","","","Small states aggregate. Includes 41 members of the Small States Forum. (Does not include the high-income countries Bahrain, Brunei Darussalam, Cyprus, Estonia, Iceland, Malta, Qatar, and San Marino.)",
"São Tomé and Principe","STP","Sub-Saharan Africa","Lower middle income","",
"Suriname","SUR","Latin America & Caribbean","Upper middle income","",
"Slovak Republic","SVK","Europe & Central Asia","High income: OECD","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2009: 1 euro = 30.126 Slovak koruna. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.",
"Slovenia","SVN","Europe & Central Asia","High income: OECD","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2007: 1 euro = 239.64 Slovenian tolar. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.",
"Sweden","SWE","Europe & Central Asia","High income: OECD","Fiscal year end: June 30; reporting period for national accounts data: CY.",
"Swaziland","SWZ","Sub-Saharan Africa","Lower middle income","Fiscal year end: March 31; reporting period for national accounts data: CY. In 2011, the Central Statistical Office revised national accounts data for 1990 onward.",
