"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"Spain","ESP","Land area (sq. km)","AG.LND.TOTL.K2","","499780","499780","499780","499780","499780","499780","499780","499780","499780","499780","499780","499780","499780","499750","499630","499570","499540","499530","499540","499470","499460","499460","499430","499440","499440","499440","499440","499440","499440","499440","499440","499440","499440","499440","499440","499440","499440","499440","499440","499000","498520","499040","499210","499180","499090","498980","499110","498800","498800","498800","498800","498800","498800","498800",
"Estonia","EST","Land area (sq. km)","AG.LND.TOTL.K2","","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390",
"Ethiopia","ETH","Land area (sq. km)","AG.LND.TOTL.K2","","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1101000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000",
"European Union","EUU","Land area (sq. km)","AG.LND.TOTL.K2","","4210856","4210836","4210846","4210846","4210836","4210826","4210816","4210806","4210806","4210796","4210786","4210786","4210786","4210756","4210636","4210556","4210536","4210536","4210506","4210426","4210406","4210396","4210356","4210366","4210366","4210366","4210376","4210366","4209376","4209376","4209486","4209532","4209512","4209552","4209522","4209612","4209522","4209482","4209452","4241782","4241252","4240166","4240326","4238386","4240126","4237416","4237346","4236781","4237674","4237675","4237681","4236562","4236562","4236562",
"Fragile and conflict affected situations","FCS","Land area (sq. km)","AG.LND.TOTL.K2","","14393728","14393728","14393728","14393728","14393728","14393728","14393728","14393728","14393728","14393728","14393728","14393728","14393728","14393328","14392928","14392928","14392928","14392928","14392928","14392928","14392928","14392928","14392928","14392928","14392928","14392928","14392928","14392928","14392928","14392928","14393808","14393808","14393808","14393808","14393808","14393808","14393808","14393808","14393808","14393808","14393808","14392618","14392428","14392288","14392228","14392398","14392458","14392248","14389188","14389138","14389168","14390613","14390613","14390613",
"Finland","FIN","Land area (sq. km)","AG.LND.TOTL.K2","","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304110","304090","303900","303900","303900","303890","303890","303890","303890",
"Fiji","FJI","Land area (sq. km)","AG.LND.TOTL.K2","","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270",
"France","FRA","Land area (sq. km)","AG.LND.TOTL.K2","","547566","547566","547566","547566","547566","547566","547566","547566","547566","547566","547566","547566","547566","547566","547566","547566","547566","547566","547566","547566","547566","547566","547566","547566","547566","547566","547566","547566","547566","547566","547566","547566","547566","547566","547566","547566","547566","547566","547566","547566","547566","547670","547670","547670","547660","547660","547660","547660","547660","547660","547660","547561","547561","547561",
"Faeroe Islands","FRO","Land area (sq. km)","AG.LND.TOTL.K2","","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396",
"Micronesia, Fed. Sts.","FSM","Land area (sq. km)","AG.LND.TOTL.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700",
"Gabon","GAB","Land area (sq. km)","AG.LND.TOTL.K2","","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670",
"United Kingdom","GBR","Land area (sq. km)","AG.LND.TOTL.K2","","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930",
"Georgia","GEO","Land area (sq. km)","AG.LND.TOTL.K2","","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490",
"Ghana","GHA","Land area (sq. km)","AG.LND.TOTL.K2","","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540",
"Guinea","GIN","Land area (sq. km)","AG.LND.TOTL.K2","","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720",
"Gambia, The","GMB","Land area (sq. km)","AG.LND.TOTL.K2","","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120",
"Guinea-Bissau","GNB","Land area (sq. km)","AG.LND.TOTL.K2","","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120",
"Equatorial Guinea","GNQ","Land area (sq. km)","AG.LND.TOTL.K2","","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050",
"Greece","GRC","Land area (sq. km)","AG.LND.TOTL.K2","","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900",
"Grenada","GRD","Land area (sq. km)","AG.LND.TOTL.K2","","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340",
"Greenland","GRL","Land area (sq. km)","AG.LND.TOTL.K2","","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450",
"Guatemala","GTM","Land area (sq. km)","AG.LND.TOTL.K2","","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160",
"Guam","GUM","Land area (sq. km)","AG.LND.TOTL.K2","","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540",
"Guyana","GUY","Land area (sq. km)","AG.LND.TOTL.K2","","196710","196710","196710","196710","196710","196710","196710","196710","196710","196710","196710","196710","196710","196710","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850",
"High income","HIC","Land area (sq. km)","AG.LND.TOTL.K2","","51314188.4","51314188.4","51314188.4","51314188.4","51314188.4","51314188.4","51314188.4","51314188.4","51314188.4","51314188.4","51314188.4","51314088.4","51314088.4","51314058.4","51313828.4","51313768.4","51313628.4","51313618.4","51313638.4","51313378.4","51313468.4","51313258.4","51313228.4","51311739.4","51311639.4","51311739.4","51311649.4","51311649.4","51311649.4","51311649.4","51312109.4","51312175.4","51308395.4","51303535.4","51300635.4","51300174.4","51369573.4","51372122.4","51379291.4","51407480.4","51406335.4","51343807.4","51343989.4","51342291.4","51344381.4","51338066.4","51338157.4","51323527.4","51323460.4","51322247.4","51322143.4","51385168.3","51385168.3","51385168.3",
"Hong Kong SAR, China","HKG","Land area (sq. km)","AG.LND.TOTL.K2","","1020","1020","1020","1020","1020","1020","1020","1020","1020","1020","1020","1020","1020","1020","1010","1010","1000","1000","1000","1000","1000","990","990","990","990","990","990","990","990","990","990","990","990","990","1050","1050","1050","1050","1050","1050","1050","1042","1042","1042","1042","1042","1042","1042","1042","1042","1042","1050","1050","1050",
"Honduras","HND","Land area (sq. km)","AG.LND.TOTL.K2","","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890",
"Heavily indebted poor countries (HIPC)","HPC","Land area (sq. km)","AG.LND.TOTL.K2","","19855481","19855481","19855481","19855481","19855481","19855481","19855481","19855481","19855481","19855481","19855481","19855481","19855481","19855081","19854821","19854821","19854821","19854821","19854821","19854821","19854821","19854821","19854821","19854821","19854821","19854821","19854821","19854821","19854821","19854821","19854821","19854821","19753821","19753821","19753821","19753821","19753821","19753821","19753821","19753821","19753821","19752631","19752631","19752631","19752631","19752631","19752631","19752631","19752631","19752631","19752631","19754076","19754076","19754076",
"Croatia","HRV","Land area (sq. km)","AG.LND.TOTL.K2","","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55910","55980","55980","55910","55910","55910","55910","55910","55910","55960","55960","55960","55960","55960","55960","55960","55960","55960","55960","55960",
"Haiti","HTI","Land area (sq. km)","AG.LND.TOTL.K2","","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560",
"Hungary","HUN","Land area (sq. km)","AG.LND.TOTL.K2","","90040","90020","90030","90030","90020","90010","90000","89990","89990","89980","89970","89970","89970","89970","89970","89950","89960","89970","89920","89910","89900","89890","89880","89880","89880","89880","89880","89870","89870","89870","89870","89870","89860","89860","89860","89860","89800","89800","89800","89620","89620","89620","89620","89620","89610","89610","89610","89610","90530","90530","90530","90530","90530","90530",
"Indonesia","IDN","Land area (sq. km)","AG.LND.TOTL.K2","","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570",
"Isle of Man","IMN","Land area (sq. km)","AG.LND.TOTL.K2","","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570",
"India","IND","Land area (sq. km)","AG.LND.TOTL.K2","","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190",
"Not classified","INX","Land area (sq. km)","AG.LND.TOTL.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","Land area (sq. km)","AG.LND.TOTL.K2","","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890",
"Iran, Islamic Rep.","IRN","Land area (sq. km)","AG.LND.TOTL.K2","","1628550","1628550","1628550","1628550","1628550","1628550","1628550","1628550","1628550","1628550","1628550","1628550","1628550","1628550","1628550","1628550","1628550","1628550","1628550","1628550","1628550","1628550","1628550","1628550","1628550","1628550","1628550","1628550","1628550","1628550","1628550","1628550","1628550","1628550","1628550","1628550","1628550","1628550","1628550","1628550","1628550","1628550","1628550","1628550","1628550","1628550","1628550","1628550","1628550","1628550","1628550","1628550","1628550","1628550",
"Iraq","IRQ","Land area (sq. km)","AG.LND.TOTL.K2","","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","434320","434320","434320","434320","434320","434320",
"Iceland","ISL","Land area (sq. km)","AG.LND.TOTL.K2","","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250",
"Israel","ISR","Land area (sq. km)","AG.LND.TOTL.K2","","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640",
"Italy","ITA","Land area (sq. km)","AG.LND.TOTL.K2","","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294140","294140","294140","294140","294140","294140","294140","294140","294140","294140","294140","294140",
"Jamaica","JAM","Land area (sq. km)","AG.LND.TOTL.K2","","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830",
"Jordan","JOR","Land area (sq. km)","AG.LND.TOTL.K2","","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88780","88780","88780","88780","88780","88780",
"Japan","JPN","Land area (sq. km)","AG.LND.TOTL.K2","","366700","366700","366700","366700","366700","366700","366700","366700","366700","366700","366700","366600","366600","366600","366500","366500","366400","366400","366400","366300","366400","366200","366200","364700","364600","364700","364600","364600","364600","364600","364600","364600","364600","364600","364600","364500","364500","364500","364500","364500","364500","364500","364500","364500","364500","364500","364500","364500","364500","364500","364500","364560","364560","364560",
"Kazakhstan","KAZ","Land area (sq. km)","AG.LND.TOTL.K2","","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700",
"Kenya","KEN","Land area (sq. km)","AG.LND.TOTL.K2","","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140",
"Kyrgyz Republic","KGZ","Land area (sq. km)","AG.LND.TOTL.K2","","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800",
"Cambodia","KHM","Land area (sq. km)","AG.LND.TOTL.K2","","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520",
"Kiribati","KIR","Land area (sq. km)","AG.LND.TOTL.K2","","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810",
"St. Kitts and Nevis","KNA","Land area (sq. km)","AG.LND.TOTL.K2","","350","350","350","350","350","350","350","350","350","350","350","350","350","350","350","350","350","350","350","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260",
"Korea, Rep.","KOR","Land area (sq. km)","AG.LND.TOTL.K2","","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96740","96790","96800","96820","96850","96880","96920","97030","97100","97100","97100","97350","97350","97350",
"Kosovo","","Land area (sq. km)","AG.LND.TOTL.K2","","10887","10887","10887","10887","10887","10887","10887","10887","10887","10887","10887","10887","10887","10887","10887","10887","10887","10887","10887","10887","10887","10887","10887","10887","10887","10887","10887","10887","10887","10887","10887","10887","10887","10887","10887","10887","10887","10887","10887","10887","10887","10887","10887","10887","10887","10887","10887","10887","10887","10887","10887","10887","10887","10887",
"Kuwait","KWT","Land area (sq. km)","AG.LND.TOTL.K2","","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820",
"Latin America & Caribbean (developing only)","LAC","Land area (sq. km)","AG.LND.TOTL.K2","","19125130","19125130","19125130","19125130","19125130","19125130","19125130","19125130","19125130","19125130","19125130","19125130","19125130","19125130","19125270","19125140","19125140","19125140","19125140","19125140","19125140","19125140","19125140","19125140","19125140","19125140","19125140","19125140","19125140","19125140","19125140","19125140","19125140","19125140","19125140","19125140","19125140","19096660","19096660","19096660","19096660","19196930","19196940","19196950","19196980","19196970","19196980","19196980","19196980","19196980","19196980","19095700","19095700","19095700",
"Lao PDR","LAO","Land area (sq. km)","AG.LND.TOTL.K2","","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800",
"Lebanon","LBN","Land area (sq. km)","AG.LND.TOTL.K2","","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230",
"Liberia","LBR","Land area (sq. km)","AG.LND.TOTL.K2","","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320",
"Libya","LBY","Land area (sq. km)","AG.LND.TOTL.K2","","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540",
"St. Lucia","LCA","Land area (sq. km)","AG.LND.TOTL.K2","","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610",
"Latin America & Caribbean (all income levels)","LCN","Land area (sq. km)","AG.LND.TOTL.K2","","20071164.4","20071164.4","20071164.4","20071164.4","20071164.4","20071164.4","20071164.4","20071164.4","20071164.4","20071164.4","20071164.4","20071164.4","20071164.4","20071164.4","20071304.4","20071174.4","20071174.4","20071174.4","20071174.4","20071084.4","20071084.4","20071084.4","20071084.4","20071084.4","20071084.4","20071084.4","20071084.4","20071084.4","20071084.4","20071084.4","20071084.4","20071084.4","20071084.4","20071084.4","20071084.4","20071084.4","20071084.4","20042604.4","20042604.4","20042604.4","20042604.4","20142874.4","20142884.4","20142894.4","20142924.4","20142914.4","20142924.4","20142924.4","20142924.4","20142924.4","20142924.4","20041644.4","20041644.4","20041644.4",
"Least developed countries: UN classification","LDC","Land area (sq. km)","AG.LND.TOTL.K2","","20276394","20276394","20276394","20276394","20276394","20276394","20276394","20276394","20276394","20276394","20276394","20276394","20276394","20275994","20275594","20275594","20275594","20275594","20275594","20275594","20275594","20275594","20275594","20275594","20275594","20275594","20275594","20275594","20275594","20275594","20275594","20275594","20174594","20167671","20167671","20167671","20167671","20167671","20167671","20168021","20168021","20169938","20169938","20168135","20168075","20168185","20168235","20168025","20168015","20167975","20168005","20166343","20166343","20166343",
"Low income","LIC","Land area (sq. km)","AG.LND.TOTL.K2","","14959501","14959501","14959501","14959501","14959501","14959501","14959501","14959501","14959501","14959501","14959501","14959501","14959501","14959101","14958701","14958701","14958701","14958701","14958701","14958701","14958701","14958701","14958701","14958701","14958701","14958701","14958701","14958701","14958701","14958701","14958701","14958701","14857701","14857701","14857701","14857701","14857701","14857701","14857701","14858051","14858051","15048661","15048661","15048541","15048481","15048591","15048641","15048431","15048421","15048381","15048411","14858056","14858056","14858056",
"Liechtenstein","LIE","Land area (sq. km)","AG.LND.TOTL.K2","","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160",
"Sri Lanka","LKA","Land area (sq. km)","AG.LND.TOTL.K2","","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710",
"Lower middle income","LMC","Land area (sq. km)","AG.LND.TOTL.K2","","20808990","20808990","20808990","20808990","20808990","20808990","20808990","20808990","20808990","20808990","20808990","20808990","20808920","20808880","20809000","20808870","20808870","20808870","20808870","20808870","20808870","20808870","20808870","20808870","20808870","20808870","20808870","20808870","20808870","20808870","20809570","20809560","20809640","20802707","20802697","20802697","20802687","20802677","20802667","20788217","20788247","20596184","20595504","20593811","20593861","20593901","20593881","20593871","20593871","20593825","20593825","20785344","20785344","20785344",
"Low & middle income","LMY","Land area (sq. km)","AG.LND.TOTL.K2","","78507781","78507761","78507771","78507771","78507761","78507751","78507741","78507731","78507731","78507721","78507711","78507711","78507641","78507201","78506921","78506771","78506781","78506791","78506741","78506731","78506721","78506711","78506701","78506701","78506701","78506701","78506701","78506691","78505701","78505701","78507151","78507148","78406218","78399335","78399295","78399315","78399255","78370700","78370313","78356033","78356056.2","78392480","78391894","78390132","78390010","78390187.6","78389910.2","78389698.2","78388113.5","78388131.7","78388283.9","78348749","78348749","78348749",
